,Text,Start,End,Label
648,Risk,30371,30375,ORG
649,two,30396,30399,CARDINAL
650,Hasbro,30412,30418,ORG
651,2005,30444,30448,DATE
652,2006,30484,30488,DATE
653,Three,30491,30496,CARDINAL
654,the 1980s and,30587,30600,DATE
655,1990s,30601,30606,DATE
656,one,30608,30611,CARDINAL
657,Wizards,30615,30622,ORG
658,the 2000s,30639,30648,DATE
659,the 2010s,30685,30694,DATE
660,first,30750,30755,ORDINAL
661,Topps,30774,30779,ORG
662,1977,30784,30788,DATE
663,Dozens,30790,30796,CARDINAL
664,Topps,30832,30837,ORG
665,the United States,30868,30885,GPE
666,1993,31031,31035,DATE
667,Yoda,31063,31067,PERSON
668,"US$1,000",31094,31102,MONEY
669,1995,31218,31222,DATE
670,2001,31229,31233,DATE
671,"Decipher, Inc.",31235,31249,ORG
672,the Star Wars Customizable Card Game,31293,31329,ORG
673,Star Wars,31347,31356,WORK_OF_ART
674,Jungian,31409,31416,PERSON
675,Christianity,31484,31496,ORG
676,Darth Maul,31527,31537,PERSON
677,Anakin,31608,31614,PERSON
678,Jesus,31727,31732,PERSON
679,Anakin,31734,31740,PERSON
680,Darth Vader,31777,31788,PERSON
681,Adam Driver,31828,31839,PERSON
682,Kylo Ren,31864,31872,PERSON
683,Vader,31887,31892,PERSON
684,George Lucas,31942,31954,PERSON
685,Joseph Campbell,32115,32130,PERSON
686,Anakin,32157,32163,PERSON
687,Luke,32165,32169,PERSON
688,Rey,32175,32178,PERSON
689,Atonement with the Father,32294,32319,WORK_OF_ART
690,Obi-Wan's,32322,32331,ORG
691,Anakin,32398,32404,PERSON
692,Obi-Wan,32416,32423,PERSON
693,Palpatine,32428,32437,PERSON
694,Luke,32465,32469,PERSON
695,Vader,32487,32492,PERSON
696,one,32563,32566,CARDINAL
697,Snoke,32629,32634,PERSON
698,Kylo Ren,32646,32654,PERSON
699,Han Solo,32675,32683,PERSON
700,Kylo,32685,32689,PERSON
701,Rey,32709,32712,PERSON
702,Inverse,32780,32787,PERSON
703,The Last Jedi,32808,32821,WORK_OF_ART
704,Luke,32876,32880,PERSON
705,one,32885,32888,CARDINAL
706,Force,32903,32908,ORG
707,Force,32931,32936,ORG
708,1977,33110,33114,DATE
709,Ewoks,33197,33202,ORG
710,Gungans,33207,33214,ORG
711,the Empire and Trade Federation,33223,33254,ORG
712,one,33338,33341,CARDINAL
713,the Vietnam-American War,33354,33378,EVENT
714,Darth Vader's,33380,33393,PERSON
715,German,33466,33472,NORP
716,Lucas,33502,33507,PERSON
717,Sith,33525,33529,WORK_OF_ART
718,Schutzstaffel,33590,33603,ORG
719,Adolf Hitler,33611,33623,PERSON
720,Vader,33678,33683,PERSON
721,World War I German,33718,33736,EVENT
722,Imperial,33755,33763,ORG
723,German,33807,33813,NORP
724,World War II,33828,33840,EVENT
725,SS,33902,33904,ORG
726,World War II,33961,33973,EVENT
727,Kessel,34031,34037,ORG
728,Hoth,34094,34098,PERSON
729,German,34108,34114,NORP
730,Eastern Front,34152,34165,ORG
731,World War I,34338,34349,EVENT
732,World War II,34354,34366,EVENT
733,Palpatine,34377,34386,PERSON
734,Hitler,34468,34474,PERSON
735,Führer,34508,34514,PERSON
736,Lucas,34516,34521,PERSON
737,Julius Caesar,34579,34592,PERSON
738,Napoleon Bonaparte,34594,34612,PERSON
739,Richard Nixon,34635,34648,PERSON
740,The Great Jedi Purge,34650,34670,WORK_OF_ART
741,the Night of the Long Knives,34693,34721,WORK_OF_ART
742,the Galactic Republic,34741,34762,GPE
743,Roman Republic,34807,34821,LOC
744,Force Awakens,34935,34948,ORG
745,J. J. Abrams,34958,34970,PERSON
746,Nazis,35024,35029,NORP
747,Argentina,35052,35061,GPE
748,WWII,35068,35072,EVENT
749,May the Force,35316,35329,WORK_OF_ART
750,first,35388,35393,ORDINAL
751,1977,35412,35416,DATE
752,the late 1970s,35550,35564,DATE
753,early 1980s,35569,35580,DATE
754,Spaceballs,35753,35763,ORG
755,The Family Guy Trilogy and Robot Chicken: Star Wars,35765,35816,WORK_OF_ART
756,1989,35821,35825,DATE
757,the Library of Congress,35827,35850,ORG
758,Star Wars,35873,35882,WORK_OF_ART
759,the U.S. National Film Registry,35908,35939,ORG
