,Text,Start,End,Label
189,Nien Nunb,9568,9577,ORG
190,second,9606,9612,ORDINAL
191,Death Star,9613,9623,ORG
192,second,9636,9642,ORDINAL
193,Death Star,9643,9653,ORG
194,Lando,9668,9673,PERSON
195,second,9784,9790,ORDINAL
196,Death Star,9791,9801,WORK_OF_ART
197,Lando,9803,9808,PERSON
198,the Galactic Empire,9857,9876,GPE
199,Star Wars: The Force Awakens,9881,9909,WORK_OF_ART
200,some 30 years,9915,9928,DATE
201,Falcon,9959,9965,ORG
202,Unkar,10011,10016,ORG
203,Jakku,10044,10049,PERSON
204,some years,10094,10104,DATE
205,Rey,10122,10125,PERSON
206,Daisy Ridley,10127,10139,PERSON
207,Finn,10165,10169,PERSON
208,John Boyega,10171,10182,PERSON
209,Falcon,10194,10200,ORG
210,Solo and Chewbacca,10400,10418,ORG
211,Falcon,10436,10442,ORG
212,Falcon,10468,10474,ORG
213,Solo,10509,10513,ORG
214,Solo,10534,10538,ORG
215,Rey,10566,10569,PERSON
216,Finn,10574,10578,PERSON
217,Rey,10616,10619,PERSON
218,Finn,10672,10676,PERSON
219,the First Order's,10694,10711,ORG
220,Starkiller Base,10716,10731,PERSON
221,Solo,10918,10922,PERSON
222,Starkiller Base,10979,10994,FAC
223,Rey,11003,11006,PERSON
224,first,11072,11077,ORDINAL
225,Jedi,11078,11082,NORP
226,Luke Skywalker,11126,11140,PERSON
227,Falcon,11160,11166,ORG
228,Chewbacca,11185,11194,ORG
229,Falcon,11210,11216,ORG
230,Star Wars:,11234,11244,WORK_OF_ART
231,Ahch-To,11269,11276,WORK_OF_ART
232,Rey,11282,11285,PERSON
233,Chewbacca,11290,11299,PERSON
234,Chewbacca,11320,11329,PERSON
235,Rey,11334,11337,PERSON
236,Falcon,11347,11353,ORG
237,Crait,11368,11373,PERSON
238,Falcon,11436,11442,ORG
239,third,11473,11478,ORDINAL
240,Crait,11487,11492,ORG
241,TIE,11520,11523,ORG
242,the First Order's,11587,11604,ORG
243,Luke,11634,11638,PERSON
244,Kylo Ren,11649,11657,PERSON
245,Crait,11714,11719,ORG
