,Text,Start,End,Label
992,the Lost Command,40402,40418,ORG
993,2011,40420,40424,DATE
994,Darth Vader,40427,40438,PERSON
995,the Ghost Prison,40443,40459,WORK_OF_ART
996,Darth Vader,40472,40483,PERSON
997,the Cry of Shadows,40488,40506,WORK_OF_ART
998,Darth Vader,40540,40551,PERSON
999,Anakin Skywalker,40556,40572,PERSON
1000,Star Wars,40602,40611,WORK_OF_ART
1001,the earliest days,40618,40635,DATE
1002,Vader,40693,40698,PERSON
1003,Star Wars:,40723,40733,WORK_OF_ART
1004,first,40805,40810,ORDINAL
1005,Star Wars: The Force Unleashed II,40860,40893,WORK_OF_ART
1006,Darth Vader,40913,40924,PERSON
1007,Soulcalibur IV,41006,41020,PRODUCT
1008,Vader,41044,41049,PERSON
1009,Star Wars Jedi:,41099,41114,WORK_OF_ART
1010,Second,41160,41166,ORDINAL
1011,Vader,41194,41199,PERSON
1012,a Jedi Holocron,41238,41253,PRODUCT
1013,Cal Kestis,41280,41290,PERSON
1014,Vader,41309,41314,PERSON
1015,Holocron,41340,41348,PRODUCT
1016,Vader,41406,41411,PERSON
1017,the Star Wars Holiday Special,41468,41497,ORG
1018,CBS,41533,41536,ORG
1019,1978,41540,41544,DATE
1020,Darth Vader,41577,41588,PERSON
1021,Imperial,41626,41634,ORG
1022,1977,41689,41693,DATE
1023,James Earl Jones,41755,41771,PERSON
1024,Vader,41787,41792,PERSON
1025,Boba Fett,41807,41816,PERSON
1026,Rebels,41831,41837,ORG
1027,Darth Vader,41838,41849,PERSON
1028,1981,41866,41870,DATE
1029,Star Wars,41897,41906,WORK_OF_ART
1030,Brock Peters,41928,41940,PERSON
1031,Vader,41942,41947,PERSON
1032,first,41958,41963,ORDINAL
1033,Ralltiir,41989,41997,PERSON
1034,Leia,42024,42028,PERSON
1035,Leia,42111,42115,PERSON
1036,Star Destroyer,42129,42143,ORG
1037,the Death Star,42155,42169,ORG
1038,Vader,42170,42175,PERSON
1039,Star Tours,42187,42197,WORK_OF_ART
1040,Jones,42258,42263,PERSON
1041,Vader,42284,42289,PERSON
1042,RoboCop,42314,42321,PRODUCT
1043,Jurassic Park,42326,42339,GPE
1044,Indian,42352,42358,NORP
1045,Vader,42383,42388,PERSON
1046,Night,42415,42420,TIME
1047,2009,42463,42467,DATE
1048,Oscar the Grouch,42486,42502,WORK_OF_ART
1049,Ivan the Terrible,42549,42566,PERSON
1050,Napoleon,42568,42576,PERSON
1051,Al Capone,42581,42590,PERSON
1052,1977,42619,42623,DATE
1053,New Journal,42638,42649,ORG
1054,Star Wars,42716,42725,WORK_OF_ART
1055,George Lucas,42832,42844,PERSON
1056,Vader,42905,42910,PERSON
1057,Anakin,43002,43008,PERSON
1058,The Phantom Menace,43027,43045,WORK_OF_ART
1059,African American,43081,43097,NORP
1060,Siddartha,43206,43215,GPE
1061,Gautama Buddha,43235,43249,PERSON
1062,Mexican,43253,43260,NORP
1063,Christians,43276,43286,NORP
1064,Anakin,43341,43347,PERSON
1065,Darth Vader,43422,43433,PERSON
1066,1982,43439,43443,DATE
1067,Cosmic Princess,43450,43465,WORK_OF_ART
1068,1999,43497,43501,DATE
1069,Star Wars,43529,43538,WORK_OF_ART
1070,Marty McFly,43587,43598,PERSON
1071,1985,43622,43626,DATE
1072,Darth Vader,43673,43684,PERSON
1073,Vulcan,43701,43707,PRODUCT
1074,one,43712,43715,CARDINAL
1075,Vader,43723,43728,PERSON
1076,"""Dark Helmet",43744,43756,WORK_OF_ART
1077,Rick Moranis,43759,43771,PERSON
1078,Star Wars,43780,43789,WORK_OF_ART
1079,Spaceballs,43797,43807,WORK_OF_ART
1080,1987,43809,43813,DATE
1081,Final Fantasy IV,43840,43856,WORK_OF_ART
1082,1991,43858,43862,DATE
1083,Takashi Tokita,43891,43905,PERSON
1084,Vader,43921,43926,PERSON
1085,Chasing Amy,43931,43942,PRODUCT
1086,1997,43944,43948,DATE
1087,Hooper X,43951,43959,PERSON
1088,Dwight Ewell,43961,43973,PERSON
1089,Darth Vader,44015,44026,PERSON
1090,Vader,44137,44142,PERSON
1091,Vader,44271,44276,PERSON
1092,Zurg,44334,44338,PERSON
1093,Toy Story 2,44342,44353,WORK_OF_ART
1094,Dark Mayhem,44372,44383,WORK_OF_ART
1095,Thundermans,44391,44402,LOC
1096,Vader,44423,44428,PERSON
1097,Warner Bros.,44472,44484,ORG
1098,Loonatics Unleashed,44499,44518,ORG
1099,Sylvester,44525,44534,PERSON
1100,Sylth Vester,44564,44576,PERSON
1101,Vader,44588,44593,PERSON
1102,Agathidium,44630,44640,PRODUCT
1103,Vader,44663,44668,PERSON
1104,Darth Vader,44755,44766,PERSON
1105,the Washington National Cathedral's,44795,44830,ORG
1106,NHL,44867,44870,ORG
1107,Ottawa,44879,44885,GPE
1108,Martin Gerber,44906,44919,PERSON
1109,Darth,44993,44998,PERSON
1110,Vader,45056,45061,PERSON
1111,American,45133,45141,NORP
1112,Ronald Reagan's,45227,45242,PERSON
1113,Star Wars,45290,45299,WORK_OF_ART
1114,German,45330,45336,NORP
1115,Der Spiegel,45351,45362,PERSON
1116,Vader,45395,45400,PERSON
1117,1984,45426,45430,DATE
